Markets,Stores,Population,Population_Density,Median_Age_2017,Age_of_Store,Branded TAPA,Branded Cost
ABILENE-SWEETWATER,24,64204.43,299.02,33.5,73,58606,2435
"ALBANY, GA",56,126428.11,728.67,37.2,69,201657,11501
"ALBANY-SCHENECTADY-TROY, NY",27,245933.25,1043.46,36.8,52,170148,9924
ALBUQUERQUE-SANTA FE,26,81345.9,534.9,37.2,57,161301,8427
"ALEXANDRIA, LA",82,156292.42,819.23,30.2,48,60880,3000
"AMARILLO, TX",96,199563.48,822.76,35.7,73,127605,3341
"ATLANTA, GA",87,122730.97,539.21,38,72,286863,9342
"AUGUSTA, GA",71,194829.34,892.41,35.7,73,160952,8093
"AUSTIN, TX",107,112330.56,877.65,33.9,67,220354,7822
"BALTIMORE, MD",101,219148.94,1018.86,35.2,59,72058,12225
"BANGOR, ME",243,202915.43,1153.06,38.5,57,121459,28473
"BATON ROUGE, LA",28,75323.79,519.81,36.8,36,76369,13349
BILOXI-GULFPORT,29,50962.08,237.59,35.7,32,136369,11615
"BINGHAMTON, NY",30,85820.1,408.1,37,31,245539,41813
BIRMINGHAM (ANN AND TUSC),90,725901.9,3586.61,36.1,18,222484,32392
BLUEFIELD-BECKLEY-OAK HILL,34,343542.88,2067.35,36.3,2,260126,29943
"BOISE, ID",19,91503.62,451.01,38.8,29,228905,26350
BOSTON (MANCHESTER),178,370832.32,2172.38,35.9,27,269075,22951
"BOWLING GREEN, KY",446,357297.1,2128.68,36.4,26,104506,9547
BUFFALO,30,242870.29,1547.88,36.4,12,149954,8428
"BURLINGTON-PLATTSBURGH, VT-NY",35,155291.15,1183.24,38.5,93,457909,31521
CEDAR RAPIDS-WTRLO-IWC&DUB,106,217214.62,1466.16,35.6,71,293577,30085
CHAMPAIGN&SPRNGFLD-DECATUR,86,180875.87,1097.59,32.2,67,235341,30728
"CHARLESTON, SC",30,81579.71,442.97,35.9,63,276709,29753
CHARLESTON-HUNTINGTON,37,150715.83,1257.56,37.2,59,257083,26846
CHARLOTTE,48,122158.03,947.23,39.4,86,95810,11548
"CHATTANOOGA, TN",79,160713.97,821.26,37.3,85,73709,10707
"CHICAGO, IL",126,328818.26,1569.12,38.7,94,364152,38950
"CINCINNATI, OH",26,54778.5,344.2,37.1,75,196559,30343
CLARKSBURG-WESTON,16,163700.2,874.94,39.2,52,293992,28130
"CLEVELAND, OH",73,86572.82,573.02,40,67,265440,26250
"COLUMBIA, SC",44,181094.23,1242.14,38.5,48,280625,24213
"COLUMBIA-JEFFERSON CITY, MO (III",26,81450.4,481.87,34.9,55,126651,13004
"COLUMBUS, GA",105,180653.64,1984.97,33.8,37,81148,10605
"COLUMBUS, OH",10,60240.14,546.33,29.8,21,398162,43371
COLUMBUS-TUPELO-WEST POINT,7,41299.77,343.92,35.3,2,215208,34312
"CORPUS CHRISTI, TX",18,56292.11,317.19,26.7,9,272514,32742
DAVENPORT-R.ISLAND-MOLINE,46,58529.77,887.89,41.8,20,281582,31571
"DAYTON, OH",67,83584.09,714.96,40.4,60,188625,26787
DES MOINES-AMES,250,442289.78,2446.7,38.6,48,119738,13300
"DETROIT, MI",65,40919.46,317.42,39.5,43,77079,12383
"DOTHAN, AL",23,46147.81,250.86,38.6,36,410878,44985
"DULUTH-SUPERIOR, MN-WI",147,103747.83,596.62,38.1,54,349691,35578
ELMIRA,21,54669.52,428.06,38.7,17,330880,34483
"ERIE, PA",45,303797.3,1872.83,41.3,13,287559,31410
EUGENE,61,258644.77,2078.82,38.8,15,250560,29378
"EVANSVILLE, IN",173,454925.5,2629.04,40.6,13,113224,15297
ABILENE-SWEETWATER,24,64204.43,299.02,33.5,73,124495,11689
"ALBANY, GA",56,126428.11,728.67,37.2,69,392107,46677
"ALBANY-SCHENECTADY-TROY, NY",27,245933.25,1043.46,36.8,52,359277,36244
ALBUQUERQUE-SANTA FE,26,81345.9,534.9,37.2,57,277875,33596
"ALEXANDRIA, LA",82,156292.42,819.23,30.2,48,292829,33038
"AMARILLO, TX",96,199563.48,822.76,35.7,73,276973,27864
"ATLANTA, GA",87,122730.97,539.21,38,72,131312,12012
"AUGUSTA, GA",71,194829.34,892.41,35.7,73,87857,10184
"AUSTIN, TX",107,112330.56,877.65,33.9,67,423167,47150
"BALTIMORE, MD",101,219148.94,1018.86,35.2,59,356755,37393
"BANGOR, ME",243,202915.43,1153.06,38.5,57,268616,34971
"BATON ROUGE, LA",28,75323.79,519.81,36.8,36,311077,32850
BILOXI-GULFPORT,29,50962.08,237.59,35.7,32,315372,27376
"BINGHAMTON, NY",30,85820.1,408.1,37,31,135964,11893
BIRMINGHAM (ANN AND TUSC),90,725901.9,3586.61,36.1,18,140068,11496
BLUEFIELD-BECKLEY-OAK HILL,34,343542.88,2067.35,36.3,2,461827,32052
"BOISE, ID",19,91503.62,451.01,38.8,29,309876,26554
BOSTON (MANCHESTER),178,370832.32,2172.38,35.9,27,285828,24439
"BOWLING GREEN, KY",446,357297.1,2128.68,36.4,26,280382,31178
BUFFALO,30,242870.29,1547.88,36.4,12,276743,33460
"BURLINGTON-PLATTSBURGH, VT-NY",35,155291.15,1183.24,38.5,93,202606,15028
CEDAR RAPIDS-WTRLO-IWC&DUB,106,217214.62,1466.16,35.6,71,114428,12447
CHAMPAIGN&SPRNGFLD-DECATUR,86,180875.87,1097.59,32.2,67,478376,50566
"CHARLESTON, SC",30,81579.71,442.97,35.9,63,450033,39876
CHARLESTON-HUNTINGTON,37,150715.83,1257.56,37.2,59,347790,38632
CHARLOTTE,48,122158.03,947.23,39.4,86,318069,38242
"CHATTANOOGA, TN",79,160713.97,821.26,37.3,85,252487,33398
"CHICAGO, IL",126,328818.26,1569.12,38.7,94,102635,14157
"CINCINNATI, OH",26,54778.5,344.2,37.1,75,169955,12704
CLARKSBURG-WESTON,16,163700.2,874.94,39.2,52,345260,54848
"CLEVELAND, OH",73,86572.82,573.02,40,67,497656,47977
"COLUMBIA, SC",44,181094.23,1242.14,38.5,48,321688,43620
"COLUMBIA-JEFFERSON CITY, MO (III",26,81450.4,481.87,34.9,55,324330,42561
"COLUMBUS, GA",105,180653.64,1984.97,33.8,37,257776,36349
"COLUMBUS, OH",10,60240.14,546.33,29.8,21,91039,16164
COLUMBUS-TUPELO-WEST POINT,7,41299.77,343.92,35.3,2,115693,13040
"CORPUS CHRISTI, TX",18,56292.11,317.19,26.7,9,447452,63018
DAVENPORT-R.ISLAND-MOLINE,46,58529.77,887.89,41.8,20,259398,48472
"DAYTON, OH",67,83584.09,714.96,40.4,60,302275,34557
DES MOINES-AMES,250,442289.78,2446.7,38.6,48,250001,33933
"DETROIT, MI",65,40919.46,317.42,39.5,43,241668,28042
"DOTHAN, AL",23,46147.81,250.86,38.6,36,78342,11480
"DULUTH-SUPERIOR, MN-WI",147,103747.83,596.62,38.1,54,135630,10071
ELMIRA,21,54669.52,428.06,38.7,17,478417,45778
"ERIE, PA",45,303797.3,1872.83,41.3,13,282588,38556
EUGENE,61,258644.77,2078.82,38.8,15,299882,32313
"EVANSVILLE, IN",173,454925.5,2629.04,40.6,13,336139,30339
ABILENE-SWEETWATER,24,64204.43,299.02,33.5,73,247211,27346
"ALBANY, GA",56,126428.11,728.67,37.2,69,80897,12403
"ALBANY-SCHENECTADY-TROY, NY",27,245933.25,1043.46,36.8,52,130646,10206
ALBUQUERQUE-SANTA FE,26,81345.9,534.9,37.2,57,485763,44124
"ALEXANDRIA, LA",82,156292.42,819.23,30.2,48,271521,38772
"AMARILLO, TX",96,199563.48,822.76,35.7,73,301869,34265
"ATLANTA, GA",87,122730.97,539.21,38,72,209606,31375
"AUGUSTA, GA",71,194829.34,892.41,35.7,73,268528,25404
"AUSTIN, TX",107,112330.56,877.65,33.9,67,120404,11901
"BALTIMORE, MD",101,219148.94,1018.86,35.2,59,96032,12000
"BANGOR, ME",243,202915.43,1153.06,38.5,57,534122,43383
"BATON ROUGE, LA",28,75323.79,519.81,36.8,36,328853,36525
BILOXI-GULFPORT,29,50962.08,237.59,35.7,32,355373,33513
"BINGHAMTON, NY",30,85820.1,408.1,37,31,269744,29921
BIRMINGHAM (ANN AND TUSC),90,725901.9,3586.61,36.1,18,222418,24903
BLUEFIELD-BECKLEY-OAK HILL,34,343542.88,2067.35,36.3,2,135891,10146
"BOISE, ID",19,91503.62,451.01,38.8,29,118303,7492
BOSTON (MANCHESTER),178,370832.32,2172.38,35.9,27,442975,42911
"BOWLING GREEN, KY",446,357297.1,2128.68,36.4,26,386066,36608
BUFFALO,30,242870.29,1547.88,36.4,12,261906,34654
"BURLINGTON-PLATTSBURGH, VT-NY",35,155291.15,1183.24,38.5,93,306904,31822
CEDAR RAPIDS-WTRLO-IWC&DUB,106,217214.62,1466.16,35.6,71,285900,26232
CHAMPAIGN&SPRNGFLD-DECATUR,86,180875.87,1097.59,32.2,67,94139,11837
"CHARLESTON, SC",30,81579.71,442.97,35.9,63,124185,12164
CHARLESTON-HUNTINGTON,37,150715.83,1257.56,37.2,59,403290,44307
CHARLOTTE,48,122158.03,947.23,39.4,86,369462,33914
"CHATTANOOGA, TN",79,160713.97,821.26,37.3,85,327671,32319
"CHICAGO, IL",126,328818.26,1569.12,38.7,94,258902,31454
"CINCINNATI, OH",26,54778.5,344.2,37.1,75,250618,26708
CLARKSBURG-WESTON,16,163700.2,874.94,39.2,52,68022,12118
"CLEVELAND, OH",73,86572.82,573.02,40,67,60698,9998
"COLUMBIA, SC",44,181094.23,1242.14,38.5,48,390458,43307
"COLUMBIA-JEFFERSON CITY, MO (III",26,81450.4,481.87,34.9,55,247203,36667
"COLUMBUS, GA",105,180653.64,1984.97,33.8,37,346719,32724
"COLUMBUS, OH",10,60240.14,546.33,29.8,21,190895,31170
COLUMBUS-TUPELO-WEST POINT,7,41299.77,343.92,35.3,2,241864,23638
"CORPUS CHRISTI, TX",18,56292.11,317.19,26.7,9,79328,10359
DAVENPORT-R.ISLAND-MOLINE,46,58529.77,887.89,41.8,20,59698,8479
"DAYTON, OH",67,83584.09,714.96,40.4,60,318168,41990
DES MOINES-AMES,250,442289.78,2446.7,38.6,48,347449,35426
"DETROIT, MI",65,40919.46,317.42,39.5,43,300637,33711
"DOTHAN, AL",23,46147.81,250.86,38.6,36,252269,32569
"DULUTH-SUPERIOR, MN-WI",147,103747.83,596.62,38.1,54,245256,26426
ELMIRA,21,54669.52,428.06,38.7,17,52641,10322
"ERIE, PA",45,303797.3,1872.83,41.3,13,50309,9617
EUGENE,61,258644.77,2078.82,38.8,15,364135,43495
"EVANSVILLE, IN",173,454925.5,2629.04,40.6,13,281401,36638
ABILENE-SWEETWATER,24,64204.43,299.02,33.5,73,213444,33498
"ALBANY, GA",56,126428.11,728.67,37.2,69,293770,33505
"ALBANY-SCHENECTADY-TROY, NY",27,245933.25,1043.46,36.8,52,153186,26117
ALBUQUERQUE-SANTA FE,26,81345.9,534.9,37.2,57,101879,10920
"ALEXANDRIA, LA",82,156292.42,819.23,30.2,48,42481,7900
"AMARILLO, TX",96,199563.48,822.76,35.7,73,95655,12928
"ATLANTA, GA",87,122730.97,539.21,38,72,388726,52956
"AUGUSTA, GA",71,194829.34,892.41,35.7,73,299628,41226
"AUSTIN, TX",107,112330.56,877.65,33.9,67,268543,37192
"BALTIMORE, MD",101,219148.94,1018.86,35.2,59,203040,29785
"BANGOR, ME",243,202915.43,1153.06,38.5,57,66945,12783
"BATON ROUGE, LA",28,75323.79,519.81,36.8,36,84159,12210
BILOXI-GULFPORT,29,50962.08,237.59,35.7,32,304201,52722
"BINGHAMTON, NY",30,85820.1,408.1,37,31,264180,41878
BIRMINGHAM (ANN AND TUSC),90,725901.9,3586.61,36.1,18,186105,38038
BLUEFIELD-BECKLEY-OAK HILL,34,343542.88,2067.35,36.3,2,261417,35815
"BOISE, ID",19,91503.62,451.01,38.8,29,212568,32194
BOSTON (MANCHESTER),178,370832.32,2172.38,35.9,27,91620,16585
"BOWLING GREEN, KY",446,357297.1,2128.68,36.4,26,77018,11729
BUFFALO,30,242870.29,1547.88,36.4,12,313387,49604
